service_id,date,exception_type
901_merged_204551,20190416,1
901_merged_204551,20190415,1
901_merged_204551,20190412,1
901_merged_204551,20190411,1
901_merged_204551,20190410,1
901_merged_204551,20190910,1
901_merged_204551,20190911,1
901_merged_204551,20190422,1
901_merged_204551,20190917,1
901_merged_204551,20190507,1
901_merged_204551,20190506,1
901_merged_204551,20190426,1
901_merged_204551,20190816,1
901_merged_204551,20190424,1
901_merged_204551,20190814,1
901_merged_204551,20190819,1
901_merged_204551,20190429,1
901_merged_204551,20190509,1
901_merged_204551,20190508,1
901_merged_204551,20190918,1
901_merged_204551,20190919,1
901_merged_204551,20190827,1
901_merged_204551,20190916,1
901_merged_204551,20190927,1
901_merged_204551,20190805,1
901_merged_204551,20190909,1
901_merged_204551,20190806,1
901_merged_204551,20190501,1
901_merged_204551,20190903,1
901_merged_204551,20190515,1
901_merged_204551,20190905,1
901_merged_204551,20190904,1
901_merged_204551,20190906,1
901_merged_204551,20190826,1
901_merged_204551,20190417,1
901_merged_204551,20190822,1
901_merged_204551,20190430,1
901_merged_204551,20190820,1
901_merged_204551,20190809,1
901_merged_204551,20190925,1
901_merged_204551,20190828,1
901_merged_204551,20190829,1
901_merged_204551,20190517,1
901_merged_204551,20190924,1
901_merged_204551,20190503,1
901_merged_204551,20190812,1
901_merged_204551,20190821,1
901_merged_204551,20190408,1
901_merged_204551,20190409,1
901_merged_204551,20190823,1
901_merged_204551,20190523,1
901_merged_204551,20190522,1
901_merged_204551,20190521,1
901_merged_204551,20190520,1
901_merged_204551,20190813,1
901_merged_204551,20190502,1
901_merged_204551,20190423,1
901_merged_204551,20190807,1
901_merged_204551,20190912,1
901_merged_204551,20190913,1
301_merged_204552,20190815,1
301_merged_204552,20190425,1
301_merged_204552,20190923,1
301_merged_204552,20190513,1
301_merged_204552,20190510,1
301_merged_204552,20190920,1
301_merged_204552,20190516,1
301_merged_204552,20190926,1
301_merged_204552,20190514,1
301_merged_204552,20190418,1
301_merged_204552,20190808,1
301_merged_204552,20190416,1
301_merged_204552,20190415,1
301_merged_204552,20190412,1
301_merged_204552,20190411,1
301_merged_204552,20190410,1
301_merged_204552,20190910,1
301_merged_204552,20190911,1
301_merged_204552,20190422,1
301_merged_204552,20190917,1
301_merged_204552,20190507,1
301_merged_204552,20190506,1
301_merged_204552,20190426,1
301_merged_204552,20190816,1
301_merged_204552,20190424,1
301_merged_204552,20190814,1
301_merged_204552,20190819,1
301_merged_204552,20190429,1
301_merged_204552,20190509,1
301_merged_204552,20190508,1
301_merged_204552,20190918,1
301_merged_204552,20190919,1
301_merged_204552,20190827,1
301_merged_204552,20190916,1
301_merged_204552,20190927,1
301_merged_204552,20190805,1
301_merged_204552,20190909,1
301_merged_204552,20190806,1
301_merged_204552,20190501,1
301_merged_204552,20190903,1
301_merged_204552,20190515,1
301_merged_204552,20190905,1
301_merged_204552,20190904,1
301_merged_204552,20190906,1
301_merged_204552,20190826,1
301_merged_204552,20190417,1
301_merged_204552,20190822,1
301_merged_204552,20190430,1
301_merged_204552,20190820,1
301_merged_204552,20190809,1
301_merged_204552,20190925,1
301_merged_204552,20190828,1
301_merged_204552,20190829,1
301_merged_204552,20190517,1
301_merged_204552,20190924,1
301_merged_204552,20190503,1
301_merged_204552,20190812,1
301_merged_204552,20190821,1
301_merged_204552,20190408,1
301_merged_204552,20190409,1
301_merged_204552,20190823,1
301_merged_204552,20190522,1
301_merged_204552,20190521,1
301_merged_204552,20190520,1
301_merged_204552,20190813,1
301_merged_204552,20190502,1
301_merged_204552,20190423,1
301_merged_204552,20190807,1
301_merged_204552,20190912,1
301_merged_204552,20190913,1
1_merged_204553,20190527,2
1_merged_204553,20190704,2
1_merged_204553,20190902,2
4_merged_204570,20200101,2
4_merged_204570,20200120,2
4_merged_204570,20191128,2
4_merged_204570,20191225,2
5_merged_204569,20200120,1
101_merged_204574,20191216,1
101_merged_204574,20191217,1
